Ticker,Name,CUSIP,URL,FundCategory,FundSubCategory,ActiveOrPassive,Sector,Geography,Asset Class,Last Close Price,One Month Return,Standard Deviation (annual),Risk Score,Style,Controversy,Environmental,Governance,Social,Sustainability,Has Tobacco,Has Alcohol,Has Gambling,Has Military,Has Fossil Fuels,Benchmark - Conservative (income-focused),Benchmark - Moderate,Benchmark - Balanced,Benchmark - Growth,Benchmark - Aggressive Growth,Benchmark - Most Aggressive Growth
FJRLX,Fidelity Limited Term Bond Fund ,315916718,https://fundresearch.fidelity.com/mutual-funds/summary/315916718,FixedIncome,ShortDuration,Active,Diversified,International,Corporate Bonds,11.54,0.0013,0.0141,2,Limited Medium,Low,Average,High,Low,High,0,1,0,1,0,0.25,0,0,0,0,0
FSAHX,Fidelity Short Duration High Income Fund ,31641Q847,https://fundresearch.fidelity.com/mutual-funds/summary/31641Q847,FixedIncome,ShortDuration,Active,Diversified,International,Corporate Bonds,9.59,0.0014,0.0493,3,Small Value,Average,High,Low,Average,Average,0,1,1,0,1,0,0,0,0,0,0
FFXSX,Fidelity Limited Term Government Fund ,315809400,https://fundresearch.fidelity.com/mutual-funds/summary/315809400,FixedIncome,ShortDuration,Active,Diversified,International,Government Bonds,9.96,0.0015,0.014,2,Limited High,High,Average,High,High,Low,1,1,0,0,1,0,0,0,0,0,0
FCSTX,Fidelity California Limited Term Tax-Free Bond Fund ,316061852,https://fundresearch.fidelity.com/mutual-funds/summary/316061852,FixedIncome,ShortDuration,Active,Diversified,International,Municipal Bonds,10.68,0.0017,0.0178,2,Limited Medium,High,High,High,Low,High,0,1,0,1,1,0,0,0,0,0,0
FFRHX,Fidelity Floating Rate High Income Fund ,315916783,https://fundresearch.fidelity.com/mutual-funds/summary/315916783,FixedIncome,ShortDuration,Active,Diversified,International,Corporate Bonds,9.68,0.0018,0.0317,3,Large Value,Average,Low,High,Low,High,1,0,0,0,1,0,0,0,0,0,0
FCBFX,Fidelity Corporate Bond Fund ,316146596,https://fundresearch.fidelity.com/mutual-funds/summary/316146596,FixedIncome,Corporate,Active,Diversified,International,Corporate Bonds,11.64,0.0043,0.0422,3,Moderate Medium,High,Low,High,Average,Average,0,0,0,0,0,0.1,0,0,0,0,0
FMSFX,Fidelity Mortgage Securities Fund ,31617K204,https://fundresearch.fidelity.com/mutual-funds/summary/31617K204,FixedIncome,Mortgage,Active,Diversified,Domestic,Mortgages,11.28,0.0043,0.0193,2,Limited Medium,High,Low,Low,Average,High,1,0,0,0,0,0,0,0,0,0,0
FGMNX,Fidelity GNMA Fund ,31617K105,https://fundresearch.fidelity.com/mutual-funds/summary/31617K105,FixedIncome,Mortgage,Active,Diversified,Domestic,Mortgages,11.46,0.0043,0.0169,2,Limited High,High,High,Average,Average,Average,1,0,1,0,1,0,0,0,0,0,0
FGOVX,Fidelity Government Income Fund ,316172105,https://fundresearch.fidelity.com/mutual-funds/summary/316172105,FixedIncome,Government,Active,Diversified,Domestic,Government Bonds,10.28,0.0043,0.0295,2,Moderate High,Average,Low,Low,High,Average,0,0,1,1,0,0,0,0,0,0,0
FINPX,Fidelity Inflation-Protected Bond Fund ,316146604,https://fundresearch.fidelity.com/mutual-funds/summary/316146604,FixedIncome,Government,Active,Diversified,Domestic,Government Bonds,11.97,0.0043,0.0396,3,Moderate High,Low,Average,High,High,Low,1,0,1,1,1,0,0,0,0,0,0
