Ticker,Name,CUSIP,URL,FundCategory,FundSubCategory,ActiveOrPassive,Sector,Geography,Asset Class,Last Close Price,One Month Return,Standard Deviation (annual),Risk Score,Style,Controversy,Environmental,Governance,Social,Sustainability,Has Tobacco,Has Alcohol,Has Gambling,Has Military,Has Fossil Fuels,Benchmark - Conservative (income-focused),Benchmark - Moderate,Benchmark - Balanced,Benchmark - Growth,Benchmark - Aggressive Growth,Benchmark - Most Aggressive Growth
CX_US4642872000_NYQ,iShares Core S&P 500,464287200,,Not Applicable,Not Applicable,Not Applicable,Diversified,Domestic,Equity,247.36,,,5,,High,High,Average,Average,High,1,0,0,0,0,0,0,0,0,0,0
CX_US4642872422_NYQ,iShares iBoxx $ Investment Grade Corporate Bond,464287242,,Not Applicable,Not Applicable,Not Applicable,Diversified,Domestic,Corporate Bonds,121.20,,,3,,High,Low,Average,High,High,1,0,0,0,0,0,0,0,0,0,0
CX_US4642874329_NYQ,iShares 20+ Year Treasury Bond,464287432,,Not Applicable,Not Applicable,Not Applicable,Government,Domestic,Government Bonds,124.75,,,1,,Low,Low,High,Low,Low,0,0,0,0,0,0,0,0,0,0,0
CX_US4642874402_NYQ,iShares Core S&P Mid-Cap ETF,464287440,,Not Applicable,Not Applicable,Not Applicable,Diversified,Domestic,Equity,106.92,,,6,,Low,High,High,High,Average,1,0,0,0,0,0,0,0,0,0,0
CX_US4642874576_NYQ,iShares 1-3 Year Treasury Bond,464287457,,Not Applicable,Not Applicable,Not Applicable,Government,Domestic,Government Bonds,84.54,,,1,,Low,High,High,High,Low,0,0,0,0,0,0,0,0,0,0,0
CX_US4642874659_NYQ,iShares MSCI EAFE,464287465,,Not Applicable,Not Applicable,Not Applicable,Diversified,Domestic,Equity,66.25,,,7,,Low,Low,Average,High,Low,1,1,1,1,1,0,0,0,0,0,0
CX_US4642875078_NYQ,iShares Core S&P Mid-Cap,464287507,,Not Applicable,Not Applicable,Not Applicable,Diversified,Domestic,Equity,175.68,,,6,,Low,Average,High,Average,Low,1,1,1,1,1,0,0,0,0,0,0
CX_US4642875987_NYQ,iShares Russell 1000 Value,464287598,,Not Applicable,Not Applicable,Not Applicable,Diversified,Domestic,Equity,116.25,,,7,,Average,Average,Low,High,Low,1,1,1,1,1,0,0,0,0,0,0
CX_US4642876142_NYQ,iShares Russell 1000 Growth ETF,464287614,,Not Applicable,Not Applicable,Not Applicable,Diversified,Domestic,Equity,121.70,,,7,,Low,Average,Average,Low,Average,1,1,1,1,1,0,0,0,0,0,0
CX_US4642878049_NYQ,iShares Core S&P Small-Cap ETF,464287804,,Not Applicable,Not Applicable,Not Applicable,Diversified,Domestic,Equity,70.69,,,8,,Average,Low,Low,High,Low,1,1,1,1,1,0,0,0,0,0,0
CX_US4642882819_NYQ,Shares J.P. Morgan USD Emerging Markets Bond,464288281,,Not Applicable,Not Applicable,Not Applicable,Diversified,Domestic,Corporate Bonds,114.85,,,8,,High,Average,Low,High,Average,1,1,1,1,1,0,0,0,0,0,0
CX_US4642884146_NYQ,iShares National Muni Bond ETF,464288414,,Not Applicable,Not Applicable,Not Applicable,Municipal,Domestic,Municipal,110.57,,,2,,Average,High,Low,Average,Average,0,0,0,0,0,0,0,0,0,0,0
CX_US4642885135_NYQ,iShares iBoxx $ High Yield Corporate Bond ETF,464288513,,Not Applicable,Not Applicable,Not Applicable,Diversified,Domestic,Corporate Bonds,88.60,,,4,,Average,High,Low,Low,Average,0,0,0,0,0,0,0,0,0,0,0
CX_US4642885887_NYQ,iShares MBS ETF ,464288588,,Not Applicable,Not Applicable,Not Applicable,Real Estate,Domestic,Mortgages,106.99,,,3,,Average,Average,Average,High,Average,0,0,0,0,0,0,0,0,0,0,0
CX_US4642886463_NYQ,iShares 1-3 Year Credit Bond,464288646,,Not Applicable,Not Applicable,Not Applicable,Diversified,Domestic,Corporate Bonds,105.40,,,4,,Average,High,Low,Average,Low,0,0,0,0,1,0,0,0,0,0,0
CX_US4642886612_NYQ,iShares 3-7 Year Treasury Bond,464288661,,Not Applicable,Not Applicable,Not Applicable,Government,Domestic,Government Bonds,123.90,,,1,,Low,Average,Average,Average,Low,0,0,0,0,0,0,0,0,0,0,0
CX_US4642886877_NYQ,iShares U.S. Preferred Stock ETF,464288687,,Not Applicable,Not Applicable,Not Applicable,Diversified,Domestic,Equity,39.13,,,5,,High,Low,High,High,Average,1,1,1,1,1,0,0,0,0,0,0
CX_US46434G1031_NYQ,iShares Core MSCI Emerging Markets,46434G103,,Not Applicable,Not Applicable,Not Applicable,Diversified,Domestic,Equity,52.23,,,7,,Low,High,High,High,Low,0,0,0,0,0,0,0,0,0,0,0
CX_US4878361082_NYQ,KELLOGG,487836108,,Not Applicable,Not Applicable,Not Applicable,Consumer Staples,Domestic,Equity,66.26,,,6,,Average,Average,Low,Average,Average,0,0,0,0,0,0,0,0,0,0,0
CX_US5486611073_NYQ,LOWES COMPANIES INC,548661107,,Not Applicable,Not Applicable,Not Applicable,Consumer Discretionary,Domestic,Equity,75.96,,,5,,Low,Average,Low,High,Low,0,0,0,0,0,0,0,0,0,0,0
CX_US56585AAG76_USD,MARATHON PETROLEUM CORP,56585AAG7,,Not Applicable,Not Applicable,Not Applicable,Energy,Domestic,Corporate Bonds,101.27,,,6,,Average,Low,Low,Average,Low,0,0,0,0,1,0,0,0,0,0,0
CX_US651639AN69_USD,NEWMONT MINING CORP,651639AN6,,Not Applicable,Not Applicable,Not Applicable,Industrials,Domestic,Corporate Bonds,103.87,,,6,,High,Low,Average,Average,Low,0,0,0,0,1,0,0,0,0,0,0
CX_US70450Y1038_NSQ,PAYPAL HOLDINGS INC,70450Y103,,Not Applicable,Not Applicable,Not Applicable,Information Technology,Domestic,Equity,58.96,,,5,,High,Low,Average,High,Low,0,0,0,0,0,0,0,0,0,0,0
CX_US9100471096_NYQ,UNITED CONTINENTAL HOLDINGS INC,910047109,,Not Applicable,Not Applicable,Not Applicable,Industrials,Domestic,Equity,78.90,,,6,,Average,Low,High,Low,Low,0,0,0,0,0,0,0,0,0,0,0
CX_US912810EJ35_USD,US Treasury 05/15/2021,912810EJ3,,Not Applicable,Not Applicable,Not Applicable,Government,Domestic,Government Bonds,123.84,,,1,,Low,High,High,High,Average,0,0,0,0,0,0,0,0,0,0,0
CX_US912810PX00_USD,TREASURY BOND,912810PX0,,Not Applicable,Not Applicable,Not Applicable,Government,Domestic,Government Bonds,129.45,,,1,,Low,High,High,High,Low,0,0,0,0,0,0,0,0,0,0,0
